[info     / 105kB] MotherBoard has returned acknowledgement....
2021-01-01 00:01:15 [info     / 103kB] Incoming data from ICT: 10
2021-01-01 00:01:15 [info     / 101kB] MotherBoard has received cash...
2021-01-01 00:01:15 [info     / 141kB] Sending Data to MB: 10
2021-01-01 00:01:15 [info     / 139kB] Note No.: 15
2021-01-01 00:01:15 [info     / 136kB] {"Amount": "", "TradeNo": "T1609459275", "Note No.": 15, "CreatedDate": "2021-01-01 00:01:15", "MachineId": "VGT_d83add5ad714", "VersionNo": "V1.0", "Action": "A3"}
2021-01-01 00:01:15 [info     / 132kB] Received message on topic: b'vgppq/VGT_d83add5ad714', message: b'{"MachineId":"VGT_d83add5ad714","TradeNo":"T1609459275","Action":"S3","Status":"00"}'
2021-01-01 00:01:15 [info     / 130kB] Incoming data from MB: 5e
2021-01-01 00:01:16 [info     / 128kB] Incoming data from ICT: 8140
2021-01-01 00:01:16 [info     / 125kB] Device has accepted bill....
2021-01-01 00:01:16 [info     / 123kB] Sending Data to MB: 81
2021-01-01 00:01:16 [info     / 121kB] Sending Data to MB: 40
2021-01-01 00:01:17 [info     / 119kB] Incoming data from MB: 3e02
2021-01-01 00:01:17 [info     / 117kB] MotherBoard has returned acknowledgement....
2021-01-01 00:01:17 [info     / 115kB] Incoming data from ICT: 10
2021-01-01 00:01:17 [info     / 113kB] MotherBoard has received cash...
2021-01-01 00:01:17 [info     / 110kB] Sending Data to MB: 10
2021-01-01 00:01:18 [info     / 108kB] Note No.: 16
2021-01-01 00:01:18 [info     / 142kB] {"Amount": "", "TradeNo": "T1609459278", "Note No.": 16, "CreatedDate": "2021-01-01 00:01:18", "MachineId": "VGT_d83add5ad714", "VersionNo": "V1.0", "Action": "A3"}
2021-01-01 00:01:18 [info     / 138kB] Received message on topic: b'vgppq/VGT_d83add5ad714', message: b'{"MachineId":"VGT_d83add5ad714","TradeNo":"T1609459278","Action":"S3","Status":"00"}'
2021-01-01 00:01:18 [info     / 136kB] Incoming data from MB: 5e
2021-01-01 00:01:19 [info     / 134kB] Incoming data from ICT: 8140
2021-01-01 00:01:19 [info     / 131kB] Device has accepted bill....
2021-01-01 00:01:19 [info     / 129kB] Sending Data to MB: 81
2021-01-01 00:01:20 [info     / 127kB] Sending Data to MB: 40
2021-01-01 00:01:20 [info     / 125kB] Incoming data from MB: 3e02
2021-01-01 00:01:20 [info     / 123kB] MotherBoard has returned acknowledgement....
2021-01-01 00:01:21 [info     / 121kB] Incoming data from ICT: 10
2021-01-01 00:01:21 [info     / 119kB] MotherBoard has received cash...
2021-01-01 00:01:21 [info     / 116kB] Sending Data to MB: 10
2021-01-01 00:01:21 [info     / 114kB] Note No.: 17
2021-01-01 00:01:21 [info     / 111kB] {"Amount": "", "TradeNo": "T1609459281", "Note No.": 17, "CreatedDate": "2021-01-01 00:01:21", "MachineId": "VGT_d83add5ad714", "VersionNo": "V1.0", "Action": "A3"}
2021-01-01 00:01:21 [info     / 108kB] Received message on topic: b'vgppq/VGT_d83add5ad714', message: b'{"MachineId":"VGT_d83add5ad714","TradeNo":"T1609459281","Action":"S3","Status":"00"}'
2021-01-01 00:01:22 [info     / 139kB] Incoming data from MB: 5e
2021-01-01 00:01:22 [info     / 137kB] Incoming data from ICT: 8140
2021-01-01 00:01:22 [info     / 120kB] Device has accepted bill....
2021-01-01 00:01:22 [info     / 118kB] Sending Data to MB: 81
2021-01-01 00:01:23 [info     / 116kB] Sending Data to MB: 40
2021-01-01 00:01:23 [info     / 114kB] Incoming data from MB: 02
2021-01-01 00:01:23 [info     / 112kB] MotherBoard has returned acknowledgement....
2021-01-01 00:01:24 [info     / 110kB] Incoming data from MB: 3e
2021-01-01 00:01:24 [info     / 108kB] Incoming data from ICT: 10
2021-01-01 00:01:24 [info     / 106kB] MotherBoard has received cash...
2021-01-01 00:01:24 [info     / 103kB] Sending Data to MB: 10
2021-01-01 00:01:24 [info     / 141kB] Note No.: 18
