Id": "VGT_d83add5ad714", "Action": "A3", "CreatedDate": "2021-01-01 00:02:25"}
2021-01-01 00:02:25 [info     / 112kB] Received message on topic: b'vgppq/VGT_d83add5ad714', message: b'{"MachineId":"VGT_d83add5ad714","TradeNo":"T1609459345","Action":"S3","Status":"00"}'
2021-01-01 00:02:27 [info     / 109kB] Incoming data from MB: 5e3e
2021-01-01 00:02:27 [info     / 141kB] {"VersionNo": "V1.0", "Action": "A2", "TradeNo": "T1609459347", "ICTStatus": "00", "MachineId": "VGT_d83add5ad714", "MBStatus": "01"}
2021-01-01 00:02:29 [info     / 139kB] Checking Device Status...
2021-01-01 00:02:29 [info     / 136kB] Sending data to ICT: 0C
2021-01-01 00:02:29 [info     / 134kB] Incoming data from ICT: 3e
2021-01-01 00:02:29 [info     / 132kB] Controller Accept Bill
2021-01-01 00:02:44 [info     / 130kB] Checking Device Status...
2021-01-01 00:02:44 [info     / 128kB] Sending data to ICT: 0C
2021-01-01 00:02:44 [info     / 126kB] Incoming data from ICT: 3e
2021-01-01 00:02:44 [info     / 124kB] Controller Accept Bill
2021-01-01 00:00:01 [info     / 155kB] MB UART is Starting....
2021-01-01 00:00:01 [info     / 162kB] ICT UART is Starting....
2021-01-01 00:00:01 [info     / 159kB] Registering Reset Button...
2021-01-01 00:00:01 [info     / 157kB] Registering LED Pins...
2021-01-01 00:00:04 [info     / 142kB] Running program Ict Bill ....
2021-01-01 00:00:08 [debug    / 135kB]   - connecting
2021-01-01 00:00:11 [debug    / 133kB]   - connecting
2021-01-01 00:00:12 [info     / 131kB] Connected to wifi, IP address 192.168.100.21, Mac Address d8:3a:dd:5a:d7:14
2021-01-01 00:00:18 [info     / 127kB] {"Action": "A1", "MachineId": "VGT_d83add5ad714", "TradeNo": "T1609459218", "VersionNo": "V1.0"}
2021-01-01 00:00:18 [info     / 124kB] Received message on topic: b'vgppq/VGT_d83add5ad714', message: b'{"MachineId":"VGT_d83add5ad714","TradeNo":"T1609459345","Action":"S3","Status":"00"}'
2021-01-01 00:00:20 [info     / 145kB] {"Action": "A1", "MachineId": "VGT_d83add5ad714", "TradeNo": "T1609459220", "VersionNo": "V1.0"}
2021-01-01 00:00:20 [info     / 141kB] Received message on topic: b'vgppq/VGT_d83add5ad714', message: b'{"MachineId":"VGT_d83add5ad714","TradeNo":"T1609459218","Action":"S1","Status":"00"}'
2021-01-01 00:00:23 [info     / 134kB] Incoming data from ICT: 808f808f808f808f808f808f808f808f808f808f808f
2021-01-01 00:00:23 [info     / 132kB] Initializing ICT Device...
2021-01-01 00:00:23 [info     / 130kB] Incoming data from MB: 02
2021-01-01 00:00:23 [info     / 128kB] MotherBoard has returned acknowledgement....
2021-01-01 00:00:23 [info     / 126kB] Incoming data from ICT: 5e
2021-01-01 00:00:27 [info     / 124kB] Incoming data from ICT: 8140
2021-01-01 00:00:27 [info     / 121kB] Device has accepted bill....
2021-01-01 00:00:27 [info     / 119kB] Sending Data to MB: 81
2021-01-01 00:00:28 [info     / 116kB] Received message on topic: b'vgppq/VGT_d83add5ad714', message: b'{"MachineId":"VGT_d83add5ad714","TradeNo":"T1609459220","Action":"S1","Status":"00"}'
2021-01-01 00:00:28 [info     / 114kB] Sending Data to MB: 40
2021-01-01 00:00:28 [info     / 111kB] Incoming data from MB: 02
2021-01-01 00:00:28 [info     / 128kB] MotherBoard has returned acknowledgement....
2021-01-01 00:00:28 [info     / 126kB] RM 1
2021-01-01 00:00:29 [info     / 124kB] Incoming data from ICT: 10
2021-01-01 00:00:29 [info     / 121kB] MotherBoard has received cash...
2021-01-01 00:00:29 [info     / 119kB] Sending Data to MB: 10
2021-01-01 00:00:29 [info     / 117kB] Incoming data from MB: 5e
2021-01-01 00:00:33 [info     / 115kB] Incoming data from MB: 3e
2021-01-01 00:00:33 [info     / 113kB] Incoming data from ICT: 8140
2021-01-01 00:00:33 [info     / 111kB] Device has accepted bill....
2021-01-01 00:00:34 [info     / 108kB] Sending Data to MB: 81
2021-01-01 00:00:34 [info     / 106kB] Sending Data to MB: 40
2021-01-01 00:00:34 [info     / 141kB] Incoming data from MB: 02
2021-01-01 00:00:34 [info     / 139kB] MotherBoard has returned acknowledgement....
2021-01-01 00:00:34 [info     / 137kB] RM 1
2021-01-01 00:00:35 [info     / 135kB] Incoming data from ICT: 10
2021-01-01 00:00:35 [info     / 133kB] MotherBoard has received cash...
2021-01-01 00:00:35 [info     / 131kB] Sending Data to MB: 10
2021-01-01 00:00:35 [info     / 128kB] {"VersionNo": "V1.0", "Amount": "8140", "TradeNo": "T1609459235", "MachineId": "VGT_d83add5ad714", "Action": "A3", "CreatedDate": "2021-01-01 00:00:35"}
